Heure,Protocole,Source,Destination,Drapeaux TCP,Numéro de séquence,Numéro d'accusé de réception,Taille de la fenêtre de réception,Longueur
11:42:06.683311,11,gba.solunet.com.ar.2586,107.43.74.http,P.,2045943531,36,512,120
11:42:06.683328,11,gba.solunet.com.ar.2587,107.43.74.http,P.,155613128,36,512,120
11:42:06.683344,11,gba.solunet.com.ar.2588,107.43.74.http,P.,1854989337,36,512,120
11:42:06.683360,11,gba.solunet.com.ar.2589,107.43.74.http,P.,1464992055,36,512,120
11:42:06.683376,11,gba.solunet.com.ar.2590,107.43.74.http,P.,1763007414,36,512,120
11:42:06.683393,11,gba.solunet.com.ar.2591,107.43.74.http,P.,1769477762,36,512,120
11:42:06.683409,11,gba.solunet.com.ar.2592,107.43.74.http,P.,927510383,36,512,120
11:42:06.683426,11,gba.solunet.com.ar.2593,107.43.74.http,P.,262496618,36,512,120
11:42:06.683442,11,gba.solunet.com.ar.2594,107.43.74.http,P.,1944187333,36,512,120
11:42:06.683458,11,gba.solunet.com.ar.2595,107.43.74.http,P.,1368242046,36,512,120
11:42:06.683475,11,gba.solunet.com.ar.2596,107.43.74.http,P.,1996469549,36,512,120
11:42:06.683491,11,gba.solunet.com.ar.2597,107.43.74.http,P.,755440943,36,512,120
11:42:06.683507,11,gba.solunet.com.ar.2598,107.43.74.http,P.,2061395892,36,512,120
11:42:06.683524,11,gba.solunet.com.ar.2599,107.43.74.http,P.,1161699354,36,512,120
11:42:06.683540,11,gba.solunet.com.ar.zebrasrv,107.43.74.http,P.,628612553,36,512,120
11:42:06.683557,11,gba.solunet.com.ar.zebra,107.43.74.http,P.,126113657,36,512,120
11:42:06.683573,11,gba.solunet.com.ar.ripd,107.43.74.http,P.,545657814,36,512,120
11:42:06.683589,11,gba.solunet.com.ar.ripngd,107.43.74.http,P.,118227196,36,512,120
11:42:06.683606,11,gba.solunet.com.ar.ospfd,107.43.74.http,P.,2052107445,36,512,120
11:42:06.683622,11,gba.solunet.com.ar.bgpd,107.43.74.http,P.,791895479,36,512,120
11:42:06.683638,11,gba.solunet.com.ar.ospf6d,107.43.74.http,P.,1716341514,36,512,120
11:42:06.683655,11,gba.solunet.com.ar.ospfapi,107.43.74.http,P.,1585739250,36,512,120
11:42:06.683671,11,gba.solunet.com.ar.isisd,107.43.74.http,P.,1570200442,36,512,120
11:42:06.683687,11,gba.solunet.com.ar.2609,107.43.74.http,P.,1478292369,36,512,120
11:42:06.683704,11,gba.solunet.com.ar.2610,107.43.74.http,P.,178640618,36,512,120
11:42:06.683720,11,gba.solunet.com.ar.2611,107.43.74.http,P.,1503505816,36,512,120
11:42:06.683738,11,gba.solunet.com.ar.2612,107.43.74.http,P.,1661422384,36,512,120
11:42:06.683756,11,gba.solunet.com.ar.2613,107.43.74.http,P.,369358272,36,512,120
11:42:06.683779,11,gba.solunet.com.ar.2614,107.43.74.http,P.,64354808,36,512,120
